AlbumID,ArtistID
300848,ARD7TVE1187B99BFB1
300822,ARMJAGH1187FB546F3
514953,ARKRRTF1187B9984DA
287650,AR7G5I41187FB4CE6C
611336,ARXR32B1187FB57099
41838,ARKFYS91187B98E58F
25824,ARD0S291187B9B7BF5
8876,AR10USD1187B99F3F1
358182,AR8ZCNI1187B9A069B
692313,ARNTLGG11E2835DDB9
539081,ARGSJW91187B9B1D6B
163874,ARC43071187B990240
575792,ARL7K851187B99ACD2
815863,ARHHO3O1187B989413
25811,ARIK43K1187B9AE54C
135122,ARD842G1187B997376
149958,ARIG6O41187B988BDD
535188,AR1ZHYZ1187FB3C717
372309,ARYKCQI1187FB3B18F
541101,ARNPAGP1241B9C7FD4
605134,ARQGYP71187FB44566
239740,ARI3BMM1187FB4255E
386995,AR5KOSW1187FB35FF4
223365,ARMAC4T1187FB3FA4C
652784,AR47JEX1187B995D81
45730,ARGIWFO1187B9B55B7
672016,ARNTLGG11E2835DDB9
160881,ARDNS031187B9924F0
59744,AROUOZZ1187B9ABE51
373723,ARH4Z031187B9A71F2
228326,ARB29H41187B98F0EF
463514,AR1Y2PT1187FB5B9CE
643400,ARAJPHH1187FB5566A
663761,AR0RCMP1187FB3F427
12882,AREBBGV1187FB523D2
270281,ARGUVEV1187B98BA17
244586,ARPQ4Z01187FB3A736
157648,ARNQAVF11F4C844C04
644631,ARXUT4W1187FB48BEB
730551,ARDD1RC1187B9B52B4
709879,ARLGWFM1187FB4AC9F
706005,ARWYVP51187B98C516
42595,ARFCUN31187B9AD578
782470,AR6YDKV1187B989230
28723,ARV1JVD1187B9AD195
557761,AR7TTS41187B9B42D3
417945,ART3O5Z1187B9AB043
575531,AR5U94U1187FB5CDCF
234425,ARRJNTE1187FB44E12
505301,AR6IRG41187B9A4D98
74655,ARS1OWB1187B99EEAD
322532,ARGMXQW1187FB54C34
14592,AROEL1B1187B988B90
515081,AR8W8DN1187FB35ED0
765750,ARUWLCL1187FB549B8
17220,AR3793X1187FB50CB3
617077,ARINEWW1187FB5577E
278999,ARDGB6U1187FB3AD07
19601,AR2J2WF1187FB46271
38599,ARUI8651187B9ACF52
619882,AR89DTT1187B9A7ED5
618615,ARMD0G81187B99A519
681639,AR0VZWC1187B99BA57
449471,ARF2EHS1187B994F4E
321356,ARZKRD01187FB45FD2
530141,ARK4H5K1187B992F74
104765,AR06EB01187FB40150
695158,ARKPDBH1242077DEB1
509770,ARBJSO81187B9BA09B
223779,ARRC2JF1187B9B6A93
466577,ARNIFX51187FB418EA
148547,ARCCRTI11F4C845308
423012,ARNVH8S1187FB52F86
7133,ARNLO5S1187B9B80CC
358442,ARTDQRC1187FB4EFD4
15567,ARK9TRQ1187B99C095
413222,ARODBRG1187FB3FD99
80578,ARMBYRO1187FB57419
26902,ARWY7I71187FB36C3D
633532,AR6Y22S1187B99906F
435830,ARI5P4N1187FB3F44D
495734,ARYPWUK1187B98ACED
664484,ARW63KF1187B98AC48
112851,AR8H87D1187FB3A841
200689,ARLWR721187B9A03C9
682725,ARF4V431187FB3AA41
287804,ARBGWMW1187B9AEA3E
220917,AR6G4V01187B9AD086
629785,ARVQ4QM1187B98AD95
11305,AR9AM2N1187B9AD2F1
4967,AR9XEVF1187B99D017
325335,ARCFOZ71187FB43A0D
82932,ARHFEBO11F50C4825A
401583,AR107SB1187B9A79F9
8552,ARXWAQQ1187B9AE954
217058,ARL6XZC1187FB3936E
489673,ARSDSMG1187B98CB59
475992,AR3WMW01187B9921F7
495041,AR3C3C01187B98E800
225610,ARDD9UN1187B98D3A7
473710,ARJGNV61187B98F3B5
710902,ARSVI4L1187B996181
341940,ARVJ0JK1187B98C9C0
766444,AR4PCIG1187B98D07D
432406,AR1RHCO1187B9AF0BF
546663,AR1X2H01187B98CCF2
548374,ARBQBZV1187B99D29E
704183,AR9ODB41187FB459B2
307618,ARF3GX71187FB3EB66
784530,AR3PN3R1187FB4CEBD
534470,ARYWCFZ11E2835CFDD
599659,ARUT16P1187FB532A4
372122,AREOGMA1187B9908EF
577023,AR4ABL21187FB3913A
572855,AR8YV1I1187FB45D2B
523481,ARR9XGB1187B9912E6
219943,ARBKUS51187B98A3AC
266932,ARTB5PP1187FB523B7
514801,ARXFQDY1187B9AAF1E
421962,ARVEJ9M1187FB4DC44
502384,ARTHEAP122BCFCD0B2
254792,ARQESNI1187FB511EE
138320,ARCZ20M1187FB49687
722546,ARDF8K01187FB37200
